system_label,Element,Config,HOMO,LUMO,Gap,Fermi,E_total,E_bare,E_H2sys,Eads_perp,Eads_par,IP,EA,chi,eta,omega,InGap_N,InGap_E1,mu,S,omega_minus,omega_plus,delta_N_max,T50_perp,DOE_compliant_perp,theta_1bar_perp,theta_10bar_perp,theta_20bar_perp,T50_par,DOE_compliant_par,theta_1bar_par,theta_10bar_par,theta_20bar_par,Q_dop,s_pop,p_pop,d_pop,Avg_Q_O_bare,Avg_Q_Ti_bare,Q_H2_total,Q_H1,Q_H2atom,abs_delta_Q_HH,atomic_number_ml,OS_Ti_site,Delta_q,d_count,VE,abs_Delta_q,dop_O_mean,dop_O_min,dop_O_max,dop_O_std,coord_number_O,dop_displacement,nearest_Ti_dist,hh_distance,dop_h2_distance,h2_tilt_angle,has_H2,dos_at_fermi,band_center,band_width,vb_edge,cb_edge,dos_gap,dos_integrated_below_fermi,dos_peak_energy,dos_asymmetry,ionic_radius_mismatch,goldschmidt_proxy,el_atomic_number,mass,pauling_en,covalent_radius_pm,atomic_radius_pm,d_electrons,ionization_energy_1_eV,electron_affinity_eV,period,group,common_os,delta_Gap,delta_HOMO,delta_LUMO,delta_Fermi,delta_chi,delta_eta,delta_omega,delta_S,delta_InGap_N,delta_Q_dop,delta_d_pop,delta_s_pop,delta_p_pop,Q_dop_bare,d_pop_bare,kubas_candidate,Eads,H2_dissociated,DOE_compliant
Mo-TiO2,Mo,bare,-5.9727,-5.0966,0.8761000000000001,-5.5347,-18947.0633,-18947.0633,-18968.6062,-2.1161,-0.5231,5.9727,5.0966,5.534649999999999,0.4380500000000001,34.96444540862914,718,-8.1188,-5.534649999999999,1.141422212076247,40.71812040862914,29.64882040862915,6.317372446067798,,0.0,1.0,1.0,1.0,672.92,0.0,0.99999,1.0,1.0,2.5179721,0.48622998,0.2464319,2.74936602,-1.19342,2.40457,,,,,42.0,4.0,0.0,2.0,6.0,0.0,1.8825536017266815,1.8681814763605165,1.8987068388106003,0.0125254063777212,3.0,7.314494652386372,2.682696489338545,,,,0.0,0.0,-13.267063428106844,6.246366710228213,-8.05,-5.15,2.9000000000000004,718.9997436957874,-23.99,-1.132288907709803,0.0743801652892561,0.0743801652892561,42,95.96,2.16,154,139,5,7.092,0.748,5,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5179721,2.74936602,0,,,
Mo-TiO2-H2,Mo,h2,-5.8855,-4.9575,0.9280000000000008,-5.4215,-18967.0132,-18947.0633,-18968.6062,-2.1161,-0.5231,5.8855,4.9575,5.4215,0.4640000000000004,31.67312742456894,719,-8.1188,-5.4215,1.077586206896551,37.32662742456893,26.48362742456894,5.84213362068965,,0.0,1.0,1.0,1.0,672.92,0.0,0.99999,1.0,1.0,2.38496594,0.44219635,0.29173369,2.88110401,-1.19342,2.40457,0.22799,0.11126007,0.11672988,0.00547,42.0,4.0,0.0,2.0,6.0,0.0,1.8825536017266815,1.8681814763605165,1.8987068388106003,0.0125254063777212,3.0,7.314494652386372,2.682696489338545,0.8139148158223055,1.85569526961906,59.28032035365107,1.0,0.0,-13.26279222685175,6.243241348040221,-8.05,-5.01,3.040000000000001,719.9997432249586,-23.99,-1.134207886596862,0.0743801652892561,0.0743801652892561,42,95.96,2.16,154,139,5,7.092,0.748,5,6,4,0.0519000000000007,0.0871999999999992,0.1391,0.1131999999999999,-0.1131499999999992,0.0259500000000003,-3.2913179840602,-0.063836005179696,1.0,-0.1330061600000003,0.1317379899999999,-0.0440336299999999,0.0453017899999999,2.5179721,2.74936602,1,-0.5231,0.0,1.0
Nb-TiO2,Nb,bare,-8.1163,-4.3214,3.794900000000001,-4.5375,-18937.4522,-18937.4522,-18957.3523,-0.4733,-0.4683,8.1163,4.3214,6.21885,1.897450000000001,10.19107099594192,616,-4.454,-6.21885,0.2635115549816859,17.35864599594192,4.92094599594192,1.638738833697857,608.85,0.0,0.99992,0.99999,1.0,602.42,0.0,0.9999,0.99999,1.0,3.48942482,0.21377079,0.18093593,1.11586846,-1.19334,2.40126,,,,,41.0,5.0,1.0,0.0,5.0,1.0,2.004278690941488,1.990345996060068,2.0173152441378077,0.0110283691121124,3.0,7.544347440227277,3.111122093828631,,,,0.0,8.586189563275026,-13.268100394490316,6.247748375026248,-4.54,-4.53,0.0099999999999997,718.5781985803205,-23.99,-1.1311841183398827,,,41,92.906,1.6,164,146,4,6.759,0.917,5,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48942482,1.11586846,0,,,
Nb-TiO2-H2,Nb,h2,-8.1163,-4.3172,3.799100000000001,-4.5375,-18957.3523,-18937.4522,-18957.3523,-0.4733,-0.4683,8.1163,4.3172,6.21675,1.899550000000001,10.17293057895291,617,-4.454,-6.21675,0.2632202363717722,17.33945557895291,4.905955578952907,1.636374404464215,608.85,0.0,0.99992,0.99999,1.0,602.42,0.0,0.9999,0.99999,1.0,3.30699577,0.26600078,0.22954658,1.19745687,-1.19334,2.40126,0.19151,0.09563599,0.09586915,0.00023,41.0,5.0,1.0,0.0,5.0,1.0,2.005184404863778,1.9926369563141504,2.0177127383557925,0.0102371540735713,3.0,7.536778944772728,3.109880754940555,0.776999909559195,2.1058568307783756,37.58954969489891,1.0,8.552549232750025,-13.263790224933295,6.244478674615037,-4.54,-4.53,0.0099999999999997,719.5775554869923,-23.99,-1.1332884018824834,,,41,92.906,1.6,164,146,4,6.759,0.917,5,5,4,0.0041999999999999,0.0,0.0041999999999999,0.0,-0.0020999999999995,0.0020999999999999,-0.0181404169890111,-0.0002913186099136,1.0,-0.1824290500000001,0.0815884099999999,0.05222999,0.04861065,3.48942482,1.11586846,0,-0.4733,0.0,1.0
Sn-TiO2,Sn,bare,-8.1169,-4.5338,3.583099999999999,-6.3253,-18938.8441,-18938.8441,-18960.6788,-2.4079,-0.401,8.1169,4.5338,6.32535,1.79155,11.16632319011471,614,-9.1183,-6.32535,0.2790879406100863,18.38744819011471,5.736748190114707,1.765328905138009,,0.0,1.0,1.0,1.0,515.85,0.0,0.99863,0.99986,0.99993,1.75848874,0.90423347,0.98899035,0.34828744,-1.19012,2.41435,,,,,50.0,4.0,0.0,10.0,4.0,0.0,2.114852119007617,2.028643761138744,2.229032859612131,0.0731833085864331,6.0,6.468136795227274,2.823097306022199,,,,0.0,0.0,-13.278305993443594,6.2459637016967955,-8.05,-4.6,3.450000000000001,717.9997439887622,-23.99,-1.1312889107078137,0.140495867768595,0.140495867768595,50,118.71,1.96,141,145,0,7.344,1.112,5,14,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75848874,0.34828744,0,,,
Sn-TiO2-H2,Sn,h2,-8.1168,-4.5338,3.582999999999999,-6.3253,-18958.6719,-18938.8441,-18960.6788,-2.4079,-0.401,8.1168,4.5338,6.3253,1.7915,11.16645830030701,615,-9.1181,-6.3253,0.2790957298353336,18.387508300307,5.736908300307007,1.765364219927436,,0.0,1.0,1.0,1.0,515.85,0.0,0.99863,0.99986,0.99993,1.75838168,0.904238,0.98901471,0.3483656,-1.19012,2.41435,0.13824,0.06845889,0.06977927,0.00132,50.0,4.0,0.0,10.0,4.0,0.0,2.114852119007617,2.028643761138744,2.229032859612131,0.0731833085864331,6.0,6.468136795227274,2.823097306022199,0.7693620192708281,4.237197881234978,54.93795862924879,1.0,0.0,-13.27392976848974,6.2427446563280755,-8.05,-4.6,3.450000000000001,718.9997436388269,-23.99,-1.133377656113829,0.140495867768595,0.140495867768595,50,118.71,1.96,141,145,0,7.344,1.112,5,14,4,-0.0001000000000002,9.999999999976694e-05,0.0,0.0,-4.999999999988347e-05,-4.999999999988347e-05,0.0001351101922999,7.78922524730108e-06,1.0,-0.0001070599999999,7.815999999999379e-05,4.5300000000025875e-06,2.4359999999945536e-05,1.75848874,0.34828744,0,-0.401,0.0,1.0
V-TiO2,V,bare,-5.3842,-4.8209,0.5632999999999999,-5.3842,-18938.2839,-18938.2839,-18958.0817,-0.371,-0.3375,5.3842,4.8209,5.10255,0.28165,46.22051571542696,718,-8.1192,-5.10255,1.775252973548731,51.46389071542695,41.25879071542695,9.058317060181077,477.25,0.0,0.99562,0.99956,0.99978,434.16,0.0,0.98404,0.99838,0.99919,2.68806623,0.32547825,0.28070953,1.70574598,-1.19558,2.40706,,,,,23.0,4.0,0.0,1.0,5.0,0.0,1.853765632852575,1.845507386955151,1.8594306960255111,0.0059726086622809,3.0,7.3309238879545475,2.7905892081808683,,,,0.0,5.628170658188,-13.270056090181964,6.246562017196648,-8.05,-5.38,2.670000000000001,718.4671122155961,-23.99,-1.1320440654222668,-0.0413223140495868,0.0413223140495868,23,50.942,1.63,153,134,3,6.746,0.525,4,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68806623,1.70574598,0,,,
V-TiO2-H2,V,h2,-5.2456,-4.6519,0.5936999999999992,-5.2456,-18958.0817,-18938.2839,-18958.0817,-0.371,-0.3375,5.2456,4.6519,4.94875,0.2968499999999996,41.25000263180063,719,-8.1207,-4.94875,1.684352366515077,46.34717763180063,36.44967763180063,8.33543877379149,477.25,0.0,0.99562,0.99956,0.99978,434.16,0.0,0.98404,0.99838,0.99919,2.56648823,0.32260437,0.31459115,1.79631625,-1.19558,2.40706,0.19067,0.09321225,0.09745991,0.00425,23.0,4.0,0.0,1.0,5.0,0.0,1.8640727418433627,1.8592174058937787,1.8666072987118991,0.0034343500717601,3.0,7.408318208636373,2.785447646937044,0.7836667945533331,1.9326971024666235,56.68039214454312,1.0,5.628012315268,-13.26547885501726,6.243521852895213,-8.05,-5.24,2.8100000000000005,719.4749764802182,-23.99,-1.1340227829191043,-0.0413223140495868,0.0413223140495868,23,50.942,1.63,153,134,3,6.746,0.525,4,5,4,0.0303999999999993,0.1386000000000002,0.1689999999999996,0.1386000000000002,-0.1537999999999995,0.0151999999999996,-4.970513083626329,-0.0909006070336539,1.0,-0.1215779999999999,0.0905702699999999,-0.00287388,0.03388162,2.68806623,1.70574598,0,-0.371,0.0,1.0
W-TiO2,W,bare,-5.6141,-4.5332,1.0809,-5.0737,-18945.7257,-18945.7257,-18965.5272,-0.3747,-0.3296,5.6141,4.5332,5.07365,0.5404499999999999,23.81526905587936,718,-8.1157,-5.07365,0.9251549634563792,29.15914405587936,19.01184405587936,4.693912480340458,482.01,0.0,0.99621,0.99962,0.99981,424.0,0.0,0.97842,0.9978,0.9989,3.0132175,0.63464277,0.24263134,2.10950839,-1.19113,2.40217,,,,,74.0,6.0,2.0,0.0,6.0,2.0,1.9069705598875473,1.893492645032413,1.9226249012487016,0.0119923506818569,3.0,7.331634815909091,2.707444692760698,,,,0.0,0.0,-13.265731575405376,6.247265796233303,-8.04,-4.61,3.429999999999999,718.9997434285891,-23.99,-1.131932650508184,,,74,183.84,2.36,162,141,4,7.98,0.815,6,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0132175,2.10950839,0,,,
W-TiO2-H2,W,h2,-5.5035,-4.5332,0.9703,-5.0184,-18965.5272,-18945.7257,-18965.5272,-0.3747,-0.3296,5.5035,4.5332,5.01835,0.48515,25.95469104658353,719,-8.1156,-5.01835,1.030609089972174,31.21561604658353,21.17891604658353,5.171957126661857,482.01,0.0,0.99621,0.99962,0.99981,424.0,0.0,0.97842,0.9978,0.9989,2.97478423,0.56440522,0.28891758,2.17189296,-1.19113,2.40217,0.20326,0.1010408,0.10222284,0.00118,74.0,6.0,2.0,0.0,6.0,2.0,1.9189809846561687,1.9073198438153984,1.9398765769879955,0.0148085907381139,3.0,7.349045659318186,2.7073249722850536,0.7912351032729152,1.9760590428781977,60.15203217847576,1.0,0.0,-13.261208474227995,6.244254420716971,-8.04,-4.6,3.4399999999999995,719.9997432308649,-23.99,-1.133842531342258,,,74,183.84,2.36,162,141,4,7.98,0.815,6,6,4,-0.1106,0.1105999999999998,0.0,0.0552999999999999,-0.0552999999999999,-0.0552999999999998,2.1394219907041716,0.1054541265157948,1.0,-0.03843327,0.0623845700000003,-0.0702375499999999,0.04628624,3.0132175,2.10950839,0,-0.3747,0.0,1.0
Zr-TiO2,Zr,bare,-8.1178,-4.5316,3.586200000000001,-6.3247,-18931.6501,-18931.6501,-18951.5481,-0.4712,-0.4745,8.1178,4.5316,6.3247,1.7931,11.15437791813061,613,-9.1202,-6.3247,0.2788466900897886,18.37562791813061,5.726227918130611,1.763621660810886,606.15,0.0,0.99991,0.99999,1.0,610.4,0.0,0.99992,0.99999,1.0,2.86923441,0.20881001,0.20305545,0.71890013,-1.19765,2.4092,,,,,40.0,4.0,0.0,0.0,4.0,0.0,2.1281877100022797,2.1149313537759293,2.141584943111239,0.0108817382445964,3.0,7.651258096022723,3.2405317722293456,,,,0.0,0.0,-13.273826186018775,6.246026895315239,-8.05,-4.6,3.450000000000001,717.9997437008267,-23.99,-1.1323123492242415,0.1900826446280992,0.1900826446280992,40,91.224,1.33,175,159,2,6.634,0.426,5,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86923441,0.71890013,0,,,
Zr-TiO2-H2,Zr,h2,-8.117,-4.5287,3.588300000000001,-6.3228,-18951.5481,-18931.6501,-18951.5481,-0.4712,-0.4745,8.117,4.5287,6.322850000000001,1.794150000000001,11.14132935442967,614,-9.1187,-6.322850000000001,0.2786834991500152,18.36125435442967,5.715554354429672,1.762073962600674,606.15,0.0,0.99991,0.99999,1.0,610.4,0.0,0.99992,0.99999,1.0,2.70413229,0.25684082,0.25755492,0.78147197,-1.19765,2.4092,0.16888,0.08453426,0.08434171,0.00019,40.0,4.0,0.0,0.0,4.0,0.0,2.128743502763875,2.116736388472145,2.1426754262246703,0.0106766751264839,3.0,7.640330759204545,3.2322194748369633,0.7742212893268982,2.254048123030694,44.56000618394681,1.0,0.0,-13.269494715196956,6.2427837360820035,-8.05,-4.6,3.450000000000001,718.9997439724573,-23.99,-1.1344161747536732,0.1900826446280992,0.1900826446280992,40,91.224,1.33,175,159,2,6.634,0.426,5,4,4,0.0020999999999999,0.0007999999999999,0.0029000000000003,0.0019,-0.0018499999999992,0.0010500000000011,-0.0130485637009396,-0.0001631909397733,1.0,-0.1651021199999998,0.06257184,0.04803081,0.05449947,2.86923441,0.71890013,0,-0.4712,0.0,1.0
